rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
1,B Kumar (SRH),17,17,396,66.0,3,490,23,4/29,4/29,21.30,7.42,17.21,1,SRH,Kumar,2016,2016,Bhuvneshwar Kumar,13.0,5.0,8.0,3.0,Sunrisers Hyderabad
2,YS Chahal (RCB),13,13,295,49.1,-,401,21,4/25,4/25,19.09,8.15,14.04,1,RCB,Chahal,2016,2016,Yuzvendra Chahal,9.0,6.0,3.0,2.0,Royal Challengers Bangalore
3,SR Watson (RCB),16,16,339,56.3,-,485,20,4/29,4/29,24.25,8.58,16.95,1,RCB,Watson,2016,2016,Shane Watson,9.0,5.0,4.0,2.0,Royal Challengers Bangalore
4,DS Kulkarni (GL),14,14,294,49.0,4,364,18,4/14,4/14,20.22,7.42,16.33,1,GL,Kulkarni,2016,2016,Dhawal Kulkarni,4.0,1.0,3.0,1.0,Gujarat Lions
5,Mustafizur Rahman (SRH),16,16,366,61.0,1,421,17,3/16,3/16,24.76,6.90,21.52,-,SRH,Rahman,2016,2016,Mustafizur Rahman,11.0,5.0,6.0,3.0,Sunrisers Hyderabad
6,DJ Bravo (GL),15,15,336,56.0,-,494,17,4/22,4/22,29.05,8.82,19.76,1,GL,Bravo,2016,2016,Dwayne Bravo,4.0,2.0,2.0,1.0,Gujarat Lions
7,BB Sran (SRH),14,14,297,49.3,-,413,14,3/28,3/28,29.50,8.34,21.21,-,SRH,Sran,2016,2016,Barinder Sran,2.0,1.0,1.0,3.0,Sunrisers Hyderabad
8,CH Morris (DC),12,12,264,44.0,-,308,13,2/30,2/30,23.69,7.00,20.30,-,DC,Morris,2016,2016,Chris Morris,6.0,2.0,4.0,,
9,A Mishra (DC),14,14,276,46.0,-,344,13,4/11,4/11,26.46,7.47,21.23,1,DC,Mishra,2016,2016,Amit Mishra,8.0,4.0,4.0,,
10,MC Henriques (SRH),17,17,312,52.0,-,415,12,2/17,2/17,34.58,7.98,26.00,-,SRH,Henriques,2016,2016,Moises Henriques,3.0,2.0,1.0,3.0,Sunrisers Hyderabad
11,S Aravind (RCB),9,9,175,29.1,-,216,11,2/18,2/18,19.63,7.40,15.90,-,RCB,Aravind,2016,2016,Sreenath Aravind,4.0,3.0,1.0,2.0,Royal Challengers Bangalore
12,CJ Jordan (RCB),9,9,168,28.0,-,258,11,4/11,4/11,23.45,9.21,15.27,1,RCB,Jordan,2016,2016,Chris Jordan,4.0,3.0,1.0,2.0,Royal Challengers Bangalore
