rank,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year,season,batter,overall_key_count,home_key_count,away_key_count,team_position,Team Name
12,MS Dhoni (CSK),16,15,10,371,57*,74.2,250,148.4,-,1,-,22,20,CSK,Dhoni,2014,2014,MS Dhoni ,3,2,1,3,Chennai Super Kings
13,WP Saha (KXIP),17,13,2,362,115*,32.9,249,145.38,1,2,-,33,18,KXIP,Saha,2014,2014,Wriddhiman Saha,4,1,3,1,Kings XI Punjab
14,AT Rayudu (MI),15,14,0,361,68,25.78,287,125.78,-,2,-,31,8,MI,Rayudu,2014,2014,Ambati Rayudu,4,2,2,4,Mumbai Indians
15,AM Rahane (RR),13,12,0,339,72,28.25,291,116.49,-,3,1,38,3,RR,Rahane,2014,2014,Ajinkya Rahane,3,1,2,5,Rajasthan Royals
1,MEK Hussey (CSK),17,17,3,733,95,52.35,566,129.5,-,6,-,81,17,CSK,Hussey,2013,2013,Michael Hussey,7,3,4,1,Chennai Super Kings
2,SK Raina (CSK),18,17,4,548,100*,42.15,365,150.13,1,4,3,50,18,CSK,Raina,2013,2013,Suresh Raina,3,1,2,1,Chennai Super Kings
3,SR Watson (RR),16,16,2,543,101,38.78,380,142.89,1,2,-,59,22,RR,Watson,2013,2013,Shane Watson ,4,3,1,3,Rajasthan Royals
4,RG Sharma (MI),19,19,5,538,79*,38.42,409,131.54,-,4,-,35,28,MI,Sharma,2013,2013,Rohit Sharma,6,4,2,2,Mumbai Indians
5,KD Karthik (MI),19,19,1,510,86,28.33,411,124.08,-,2,2,54,14,MI,Karthik,2013,2013,Dinesh Karthik,3,1,2,2,Mumbai Indians
6,AM Rahane (RR),18,18,4,488,68*,34.85,458,106.55,-,4,-,42,11,RR,Rahane,2013,2013,Ajinkya Rahane,6,4,2,3,Rajasthan Royals
7,R Dravid (RR),18,17,1,471,65,29.43,425,110.82,-,4,-,64,5,RR,Dravid,2013,2013,Rahul Dravid ,5,3,2,3,Rajasthan Royals
8,MS Dhoni (CSK),18,16,5,461,67*,41.9,283,162.89,-,4,-,32,25,CSK,Dhoni,2013,2013,MS Dhoni,4,4,0,1,Chennai Super Kings
9,AJ Finch (PWI),14,14,0,456,67,32.57,336,135.71,-,4,1,54,16,PWI,Finch,2013,2013,Aaron Finch ,1,0,1,8,Pune Warriors
10,RV Uthappa (PWI),16,16,0,434,75,27.12,371,116.98,-,2,1,42,12,PWI,Uthappa,2013,2013,Robin Uthappa,4,2,2,8,Pune Warriors
11,KA Pollard (MI),18,18,8,420,66*,42,281,149.46,-,3,-,27,29,MI,Pollard,2013,2013,Kieron Pollard,3,1,2,2,Mumbai Indians
12,DR Smith (MI),13,13,0,418,68,32.15,341,122.58,-,4,1,40,19,MI,Smith,2013,2013,Dwayne Smith,5,2,3,2,Mumbai Indians
13,DA Warner (DC),16,16,3,410,77,31.53,323,126.93,-,4,2,41,14,DC,Warner,2013,2013,David Warner,6,4,2,4,Deccan Chargers
14,G Gambhir (KKR),16,16,0,406,60,25.37,343,118.36,-,4,2,51,5,KKR,Gambhir,2013,2013,Gautam Gambhir,6,3,3,7,Kolkata Knight Riders
15,YK Pathan (KKR),16,16,5,332,72,30.18,240,138.33,-,1,2,30,14,KKR,Pathan,2013,2013,Yusuf Pathan,4,2,2,7,Kolkata Knight Riders
1,CH Gayle (RCB),15,14,2,733,128*,61.08,456,160.74,1,7,-,46,59,RCB,Gayle,2012,2012,Chris Gayle,9,2,7,5,Royal Challengers Bangalore
2,G Gambhir (KKR),17,17,1,590,93,36.87,411,143.55,-,6,2,64,17,KKR,Gambhir,2012,2012,Gautam Gambhir,8,4,4,2,Kolkata Knight Riders
3,S Dhawan (DC),15,15,1,569,84,40.64,439,129.61,-,5,-,58,18,DC,Dhawan,2012,2012,Shikhar Dhawan ,4,3,1,8,Deccan Chargers
4,AM Rahane (RR),16,16,2,560,103*,40,433,129.33,1,3,2,73,10,RR,Rahane,2012,2012,Ajinkya Rahane,4,2,2,7,Rajasthan Royals
5,V Sehwag (DC),16,16,1,495,87*,33,307,161.23,-,5,1,57,19,DC,Sehwag,2012,2012,Virender Sehwag,8,4,4,8,Deccan Chargers
6,CL White (DC),13,13,2,479,78,43.54,320,149.68,-,5,1,41,20,DC,White,2012,2012,Cameron White,2,1,1,8,Deccan Chargers
7,R Dravid (RR),16,16,0,462,58,28.87,412,112.13,-,2,-,63,4,RR,Dravid,2012,2012,Rahul Dravid,4,2,2,7,Rajasthan Royals
8,SK Raina (CSK),19,18,1,441,73,25.94,325,135.69,-,1,2,36,19,CSK,Raina,2012,2012,Suresh Raina,4,3,1,4,Chennai Super Kings
9,RG Sharma (MI),17,16,2,433,109*,30.92,342,126.6,1,3,2,39,18,MI,Sharma,2012,2012,Rohit Sharma,6,2,4,3,Mumbai Indians
10,JH Kallis (KKR),17,17,1,409,79,25.56,384,106.51,-,2,1,34,10,KKR,Kallis,2012,2012,Jacques Kallis ,3,0,3,2,Kolkata Knight Riders
11,DJ Bravo (CSK),19,16,8,371,48,46.37,264,140.53,-,-,-,20,20,CSK,Bravo,2012,2012,Dwayne Bravo ,4,2,2,4,Chennai Super Kings
12,V Kohli (RCB),16,15,2,364,73*,28,326,111.65,-,2,-,33,9,RCB,Kohli,2012,2012,Virat Kohli ,5,2,3,5,Royal Challengers Bangalore
13,MS Dhoni (CSK),19,17,5,358,51*,29.83,278,128.77,-,1,-,26,9,CSK,Dhoni,2012,2012,MS Dhoni ,3,3,0,4,Chennai Super Kings
14,OA Shah (RR),13,13,4,340,76,37.77,256,132.81,-,3,-,24,16,RR,Shah,2012,2012,Owais Shah,3,0,3,7,Rajasthan Royals
15,M Vijay (CSK),14,14,1,336,113,25.84,267,125.84,1,-,2,39,10,CSK,Vijay,2012,2012,Murali Vijay,3,2,1,4,Chennai Super Kings
1,CH Gayle (RCB),12,12,3,608,107,67.55,332,183.13,2,3,2,56,44,RCB,Gayle,2011,2011,Chris Gayle,6,3,3,1,Royal Challengers Bangalore
2,V Kohli (RCB),16,16,4,557,71,46.41,460,121.08,-,4,-,55,16,RCB,Kohli,2011,2011,Virat Kohli,5,2,3,1,Royal Challengers Bangalore
3,SR Tendulkar (MI),16,16,3,553,100*,42.53,488,113.31,1,2,-,67,5,MI,Tendulkar,2011,2011,Sachin Tendulkar ,7,4,3,3,Mumbai Indians
4,SE Marsh (KXIP),14,13,1,504,95,42,344,146.51,-,4,-,52,20,KXIP,Marsh,2011,2011,Shaun Marsh,5,3,2,5,Kings XI Punjab
5,MEK Hussey (CSK),14,14,2,492,83*,41,414,118.84,-,4,1,53,6,CSK,Hussey,2011,2011,Michael Hussey ,5,3,2,2,Chennai Super Kings
6,PC Valthaty (KXIP),14,14,1,463,120*,35.61,338,136.98,1,2,-,55,20,KXIP,Valthaty,2011,2011,Paul Valthaty,4,3,1,5,Kings XI Punjab
7,SK Raina (CSK),16,16,2,438,73*,31.28,325,134.76,-,4,1,36,17,CSK,Raina,2011,2011,Suresh Raina ,4,3,1,2,Chennai Super Kings
8,M Vijay (CSK),16,16,0,434,95,27.12,339,128.02,-,3,-,34,20,CSK,Vijay,2011,2011,Murali Vijay,3,1,2,2,Chennai Super Kings
9,JH Kallis (KKR),15,14,2,424,80*,35.33,378,112.16,-,4,1,46,6,KKR,Kallis,2011,2011,Jacques Kallis,5,3,2,4,Kolkata Knight Riders
10,S Dhawan (DC),14,14,2,400,95*,33.33,310,129.03,-,2,-,47,7,DC,Dhawan,2011,2011,Shikhar Dhawan ,3,1,2,7,Deccan Chargers
11,S Badrinath (CSK),16,13,6,396,71*,56.57,313,126.51,-,5,1,38,9,CSK,Badrinath,2011,2011,S Badrinath,4,1,3,2,Chennai Super Kings
12,AT Rayudu (MI),16,16,2,395,63*,28.21,350,112.85,-,4,1,44,9,MI,Rayudu,2011,2011,Ambati Rayudu,5,3,2,3,Mumbai Indians
13,MS Dhoni (CSK),16,13,4,392,70*,43.55,247,158.7,-,2,-,25,23,CSK,Dhoni,2011,2011,MS Dhoni,2,1,1,2,Chennai Super Kings
14,AC Gilchrist (KXIP),14,14,0,383,106,27.35,295,129.83,1,2,2,41,18,KXIP,Gilchrist,2011,2011,Adam Gilchrist ,4,1,3,5,Kings XI Punjab
15,G Gambhir (KKR),15,15,4,378,75*,34.36,317,119.24,-,2,1,44,3,KKR,Gambhir,2011,2011,Gautam Gambhir,5,4,1,4,Kolkata Knight Riders
1,SR Tendulkar (MI),15,15,2,618,89*,47.53,466,132.61,-,5,-,86,3,MI,Tendulkar,2010,2010,Sachin Tendulkar,7,3,4,1,Mumbai Indians
2,JH Kallis (RCB),16,16,4,572,89*,47.66,494,115.78,-,6,1,67,9,RCB,Kallis,2010,2010,Jacques Kallis,7,3,4,4,Royal Challengers Bangalore
3,SK Raina (CSK),16,16,5,520,83*,47.27,364,142.85,-,4,-,45,22,CSK,Raina,2010,2010,Suresh Raina,4,1,3,3,Chennai Super Kings
