rank,year,player_url,player_id,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year_neg_batting_clutch_metric,year_matches_played,year_pos_batting_clutch_metric
13,2010,/cricketers/umar-akmal-317273,317273,Umar Akmal (PAK),2010-2010,6,5,1,155,56*,38.75,108,143.51,0,2,1,6,10,PAK,Akmal,-124.66909750825444,17,433.01665
14,2010,/cricketers/ab-de-villiers-44936,44936,AB de Villiers (SA),2010-2010,5,5,1,153,53,38.25,125,122.40,0,1,0,4,8,SA,Villiers,-33.136675964313824,9,184.542373
15,2010,/cricketers/david-warner-219889,219889,DA Warner (AUS),2010-2010,7,7,0,150,72,21.42,101,148.51,0,1,1,13,10,AUS,Warner,-74.49900908340791,15,715.078341
1,2009,/cricketers/tillakaratne-dilshan-48472,48472,TM Dilshan (SL),2009-2009,7,7,1,317,96*,52.83,219,144.74,0,3,2,46,3,SL,Dilshan,-112.6437458457164,16,366.746171
2,2009,/cricketers/jacques-kallis-45789,45789,JH Kallis (SA),2009-2009,5,5,1,238,64,59.50,188,126.59,0,2,0,28,4,SA,Kallis,-23.827848542068534,13,344.535071
3,2009,/cricketers/chris-gayle-51880,51880,CH Gayle (WI),2009-2009,5,5,1,193,88,48.25,144,134.02,0,2,0,21,8,WI,Gayle,-12.557317903335605,10,169.37941499999997
4,2009,/cricketers/kamran-akmal-41028,41028,Kamran Akmal (PAK),2009-2009,7,7,0,188,57,26.85,150,125.33,0,1,0,15,7,PAK,Akmal,-22.12172934747669,11,351.637155
5,2009,/cricketers/ab-de-villiers-44936,44936,AB de Villiers (SA),2009-2009,6,6,1,186,79*,37.20,120,155.00,0,2,0,16,6,SA,Villiers,-81.75999999999998,11,558.599023
6,2009,/cricketers/sanath-jayasuriya-49209,49209,ST Jayasuriya (SL),2009-2009,7,7,0,177,81,25.28,153,115.68,0,1,1,22,5,SL,Jayasuriya,-74.76168421482468,24,309.84525599999995
7,2009,/cricketers/kumar-sangakkara-50710,50710,KC Sangakkara (SL),2009-2009,7,7,2,177,64*,35.40,163,108.58,0,2,1,15,2,SL,Sangakkara,-47.59574874659387,12,305.90321499999993
8,2009,/cricketers/shahid-afridi-42639,42639,Shahid Afridi (PAK),2009-2009,7,7,2,176,54*,35.20,125,140.80,0,2,1,16,3,PAK,Afridi,-32.442086686432305,21,472.841011
9,2009,/cricketers/younis-khan-43652,43652,Younis Khan (PAK),2009-2009,7,6,3,172,50,57.33,123,139.83,0,1,0,11,3,PAK,Khan,-16.602870058190575,6,188.551476
10,2009,/cricketers/kevin-pietersen-19296,19296,KP Pietersen (ENG),2009-2009,4,4,0,154,58,38.50,101,152.47,0,1,0,19,4,ENG,Pietersen,-30.862887295582727,8,161.92431000000002
11,2009,/cricketers/dwayne-bravo-51439,51439,DJ Bravo (WI),2009-2009,6,5,1,154,66*,38.50,106,145.28,0,2,1,12,6,WI,Bravo,-36.079354335992775,13,134.01515899999998
12,2009,/cricketers/mahela-jayawardene-49289,49289,DPMD Jayawardene (SL),2009-2009,7,7,1,154,78,25.66,126,122.22,0,1,0,17,2,SL,Jayawardene,-63.346016549696046,12,366.58921000000004
